City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
9,Port-Gentil,GA,77.99,-0.7193,8.7815,Fengshui Residence
12,Pilar,BR,71.53,-9.5972,-35.9567,Pousada e churrascaria Manguaba
21,Arraial Do Cabo,BR,71.78,-22.9661,-42.0278,Pousada Porto Praia
22,Mocajuba,BR,74.66,-2.5842,-49.5072,Hotel Saylon
32,Jamestown,US,70.34,42.097,-79.2353,Hampton Inn & Suites Jamestown
35,Mikhaylovskoye,RU,74.77,51.8239,79.7172,"Terem"""
38,Puerto Ayora,EC,72.55,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Cayenne,GF,79.09,4.9333,-52.3333,Hôtel Le Dronmi
49,Fomboni,KM,79.25,-12.28,43.7425,Pension Paradis
52,Albany,US,72.16,42.6001,-73.9662,
56,Bambous Virieux,MU,76.21,-20.3428,57.7575,
58,Puerto Leguizamo,CO,71.02,-0.1934,-74.7819,
59,Mahebourg,MU,76.24,-20.4081,57.7,
61,Shelburne,CA,71.49,44.0787,-80.2041,
67,Poum,NC,73.62,-20.2333,164.0167,
70,Rikitea,PF,76.53,-23.1203,-134.9692,
72,Axim,GH,78.3,4.8699,-2.2405,
82,Broome,US,72.54,42.2506,-75.833,
83,Bocos,PH,76.6,16.9265,121.0573,
89,Carnarvon,AU,77.07,-24.8667,113.6333,
92,Saint-Philippe,RE,71.15,-21.3585,55.7679,
95,Pascagoula,US,73.44,30.3658,-88.5561,
100,Vaini,TO,71.76,-21.2,-175.2,
102,Muroto,JP,75.24,33.2833,134.15,
105,Avarua,CK,71.65,-21.2078,-159.775,
106,Along,IN,73.18,28.1667,94.7667,
111,Lashio,MM,79.81,22.9333,97.75,
119,Quatre Cocos,MU,76.08,-20.2078,57.7625,
132,Waw,SS,71.31,7.7029,27.9953,
141,Bontang,ID,77.72,0.1333,117.5,
148,Alofi,NU,78.69,-19.0595,-169.9187,
151,Solano,US,73.11,38.2333,-121.9511,
154,Gusau,NG,79.5,12.1628,6.6614,
157,Sao Paulo De Olivenca,BR,72.52,-3.3783,-68.8725,
163,Upata,VE,70.21,8.0086,-62.3989,
164,Flinders,AU,70.18,-34.5833,150.8552,
166,High Rock,BS,78.82,26.6208,-78.2833,
172,Atasu,KZ,71.04,48.6814,71.6433,
178,Hilo,US,77.29,19.7297,-155.09,
179,Dire Dawa,ET,72.73,9.5931,41.8661,
182,Itarema,BR,75.92,-2.9248,-39.9167,
185,Diamantino,BR,72.75,-14.4086,-56.4461,
191,Souillac,MU,76.35,-20.5167,57.5167,
199,Scranton,US,74.03,41.409,-75.6624,
200,Awbari,LY,78.01,26.5921,12.7805,
207,Hasaki,JP,79.09,35.7333,140.8333,
210,Mount Isa,AU,78.57,-20.7333,139.5,
215,Touros,BR,74.3,-5.1989,-35.4608,
216,North Myrtle Beach,US,77.13,33.816,-78.68,
219,Byron Bay,AU,70.05,-28.65,153.6167,
223,Sambava,MG,72.95,-14.2667,50.1667,
230,Namibe,AO,75.06,-15.1961,12.1522,
250,Iquitos,PE,77.04,-3.7481,-73.2472,
251,Caririacu,BR,71.69,-7.0422,-39.2836,
252,Nanticoke,US,75.11,41.2054,-76.0049,
267,Sao Gabriel Da Cachoeira,BR,73.26,-0.1303,-67.0892,
277,Kapoeta,SS,74.86,4.7717,33.5903,
280,Maceio,BR,72.84,-9.6658,-35.7353,
283,Conde,BR,74.66,-7.2597,-34.9075,
290,Praya,CV,77.54,14.9215,-23.5087,
291,College,US,70.12,64.8569,-147.8028,
293,Warri,NG,70.5,5.5167,5.75,
295,Aktau,KZ,72.18,43.65,51.2,
300,Trairi,BR,76.42,-3.2778,-39.2689,
308,Deep River,CA,71.35,46.1001,-77.4995,
309,Saint-Pierre,RE,71.24,-21.3393,55.4781,
312,Angoche,MZ,72.34,-16.2325,39.9086,
315,Blackfoot,US,70.61,43.1905,-112.345,
316,Hamilton,US,72.79,39.1834,-84.5333,
321,Fairbanks,US,70.14,64.8378,-147.7164,
324,Bethel,US,77.29,41.3712,-73.414,
331,Carutapera,BR,74.73,-1.195,-46.02,
338,Daru,PG,78.37,-9.0763,143.2092,
341,Sao Filipe,CV,73.24,14.8961,-24.4956,
342,Mitu,CO,71.51,1.1983,-70.1733,
351,Naze,JP,77.92,28.3667,129.4833,
354,Presidente Medici,BR,73.35,-11.1753,-61.9014,
357,Alta Floresta,BR,73.02,-9.8756,-56.0861,
363,Mange,SL,75.6,8.9167,-12.85,
366,Nemuro,JP,70.23,43.3236,145.575,
367,Tefe,BR,75.13,-3.3542,-64.7114,
374,Puerto Cabello,VE,77.95,10.4731,-68.0125,
376,La Cruz,MX,78.48,23.9167,-106.9,
378,Mount Pleasant,US,79.0,32.7941,-79.8626,
379,Chippewa Falls,US,78.98,44.9369,-91.3929,
390,Gonaives,HT,77.45,19.45,-72.6833,
394,Papara,BR,77.4,-3.9839,-38.7273,
400,Sheridan,US,73.65,44.8333,-106.9173,
404,Ambilobe,MG,70.43,-13.2,49.05,
409,Bonanza,NI,71.38,14.0289,-84.591,
418,Kutum,SD,73.6,14.2,24.6667,
419,Changji,CN,74.19,44.0167,87.3167,
422,Mitsamiouli,KM,78.3,-11.3847,43.2844,
428,Inirida,CO,72.05,3.8653,-67.9239,
432,Bumba,CD,70.75,2.1833,22.4667,
433,Winfield,US,74.77,37.2398,-96.9956,
434,Tadine,NC,71.71,-21.55,167.8833,
437,Laguna,US,79.18,38.421,-121.4238,
438,Tezu,IN,75.47,27.9167,96.1667,
439,Pochutla,MX,77.83,15.7432,-96.4661,
442,Kampot,KH,77.05,10.6167,104.1833,
451,Verkhniy Uslon,RU,70.02,55.7701,48.9823,
453,Marathon,US,75.15,44.9,-89.7668,
457,San Matias,BO,77.68,-16.3667,-58.4,
461,Labrea,BR,72.79,-7.2586,-64.7981,
463,Guasdualito,VE,70.45,7.2424,-70.7324,
466,Hami,CN,78.13,42.8,93.45,
467,Humaita,BR,73.58,-7.5061,-63.0208,
470,Grand Gaube,MU,76.37,-20.0064,57.6608,
473,Birobidzhan,RU,79.68,48.8,132.95,
474,Lethem,GY,74.61,3.3803,-59.7968,
478,Isangel,VU,75.31,-19.55,169.2667,
494,Dobson,US,72.45,36.3957,-80.7226,
497,Mabaruma,GY,73.0,8.2,-59.7833,
499,Jalu,LY,71.2,29.0331,21.5482,
500,Apple Valley,US,72.55,34.5008,-117.1859,
503,Cherskiy,RU,71.29,68.75,161.3,
511,Pasighat,IN,77.61,28.0667,95.3333,
518,Alice Springs,AU,74.21,-23.7,133.8833,
523,Thomasville,US,73.42,35.8826,-80.082,
527,Jalingo,NG,74.39,8.8833,11.3667,
533,Caravelas,BR,71.92,-17.7125,-39.2481,
537,Katsuura,JP,77.04,35.1333,140.3,
544,Bata,GQ,76.64,1.8639,9.7658,
546,Nakamura,JP,79.77,32.9833,132.9333,
552,Idenao,CM,72.84,4.2475,9.0047,
555,Pangai,TO,78.91,-19.8,-174.35,
556,Coari,BR,74.91,-4.085,-63.1414,
558,Cap Malheureux,MU,76.46,-19.9842,57.6142,
569,Calabozo,VE,74.44,8.9242,-67.4293,
571,Yeppoon,AU,74.98,-23.1333,150.7333,
572,Dibrugarh,IN,75.25,27.4833,94.9,
583,Gamba,GA,74.57,-2.65,10.0,
584,Turayf,SA,70.05,31.6725,38.6637,
588,Brigantine,US,76.01,39.4101,-74.3646,
598,Gat,IL,72.39,31.61,34.7642,
602,Miyako,JP,75.34,39.6367,141.9525,
604,George,ZA,72.95,-33.963,22.4617,
607,Cockburn Town,TC,79.74,21.4612,-71.1419,
608,Takoradi,GH,78.67,4.8845,-1.7554,
619,Porto Calvo,BR,72.75,-9.045,-35.3983,
621,Maragogi,BR,74.35,-9.0122,-35.2225,
623,Russell,US,74.91,32.3502,-85.1999,
625,Mangaratiba,BR,72.03,-22.9597,-44.0406,
628,Bara,NG,76.8,10.3744,10.7288,
631,Harrisonburg,US,73.78,38.4496,-78.8689,
633,Tumaco,CO,75.49,1.7986,-78.8156,
635,Avera,US,73.27,33.194,-82.5271,
637,Tutoia,BR,78.37,-2.7619,-42.2744,
640,Grand-Santi,GF,71.53,4.25,-54.3833,
643,Acarau,BR,76.44,-2.8856,-40.12,
644,Sabratah,LY,75.49,32.7933,12.4885,
651,Matagami,CA,73.51,49.7502,-77.6328,
652,Harper,LR,78.49,4.375,-7.7169,
657,Krasnokamensk,RU,79.84,50.0979,118.0369,
658,Luocheng,CN,76.41,29.3848,104.0286,
659,Grand-Lahou,CI,78.42,5.1367,-5.0242,
664,Klyuchi,RU,73.81,52.2667,79.1667,
666,Zhangye,CN,75.06,38.9342,100.4517,
667,Bestobe,KZ,71.56,52.4994,73.0975,
672,Elesbao Veloso,BR,76.8,-6.2019,-42.1403,
673,Bowen,AU,71.82,-20.0167,148.2333,
674,Levelland,US,79.2,33.5873,-102.378,
