City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Verkhnevilyuysk,RU,2021-06-07 04:24:45,63.4453,120.3167,58.37,28,29,16.62
1,Ayan,RU,2021-06-07 04:21:26,56.45,138.1667,42.53,89,93,4.54
2,Middelburg,ZA,2021-06-07 04:24:55,-25.7751,29.4648,39.81,81,0,4.25
3,Liwale,TZ,2021-06-07 04:24:55,-9.7667,37.9333,61.09,81,0,6.31
4,Victoria,HK,2021-06-07 04:21:31,22.2855,114.1577,89.65,81,59,5.01
5,Khatanga,RU,2021-06-07 04:24:49,71.9667,102.5,38.26,64,97,11.48
6,Kupang,ID,2021-06-07 04:23:43,-10.1667,123.5833,86.58,58,20,14.97
7,Kapaa,US,2021-06-07 04:24:44,22.0752,-159.319,84.18,71,40,4.0
8,Ushuaia,AR,2021-06-07 04:24:56,-54.8,-68.3,44.26,61,40,0.0
9,Port-Gentil,GA,2021-06-07 04:23:24,-0.7193,8.7815,77.99,88,100,8.25
10,Doha,QA,2021-06-07 04:24:56,25.2867,51.5333,94.98,53,0,10.36
11,Port Hardy,CA,2021-06-07 04:24:57,50.6996,-127.4199,51.98,82,75,0.0
12,Pilar,BR,2021-06-07 04:24:57,-9.5972,-35.9567,71.53,94,35,1.95
13,Thompson,CA,2021-06-07 04:24:57,55.7435,-97.8558,53.76,87,90,10.36
14,Bo Phloi,TH,2021-06-07 04:24:58,14.3236,99.5161,91.31,47,100,13.53
15,Geraldton,AU,2021-06-07 04:24:58,-28.7667,114.6,66.61,55,100,17.65
16,Lingsugur,IN,2021-06-07 04:24:58,16.1667,76.5167,82.15,60,73,16.71
17,Tiksi,RU,2021-06-07 04:24:59,71.6872,128.8694,42.22,70,100,5.44
18,Makungu,TZ,2021-06-07 04:24:59,-8.7333,35.2833,53.2,97,49,3.29
19,Bonavista,CA,2021-06-07 04:24:59,48.6499,-53.1147,35.6,81,94,4.07
20,Mar Del Plata,AR,2021-06-07 04:24:04,-38.0023,-57.5575,51.87,70,0,5.01
21,Arraial Do Cabo,BR,2021-06-07 04:22:14,-22.9661,-42.0278,71.78,87,20,6.71
22,Mocajuba,BR,2021-06-07 04:25:00,-2.5842,-49.5072,74.66,89,72,2.98
23,Qaanaaq,GL,2021-06-07 04:21:31,77.484,-69.3632,38.55,73,40,6.17
24,Talnakh,RU,2021-06-07 04:24:18,69.4865,88.3972,32.65,94,100,6.02
25,Hobart,AU,2021-06-07 04:20:21,-42.8794,147.3294,64.26,48,75,11.01
26,Qaqortoq,GL,2021-06-07 04:23:17,60.7167,-46.0333,55.9,85,100,5.64
27,Luderitz,NA,2021-06-07 04:25:01,-26.6481,15.1594,64.8,36,1,8.61
28,Mpraeso,GH,2021-06-07 04:25:01,6.5932,-0.7346,68.97,98,59,2.44
29,Kahului,US,2021-06-07 04:25:03,20.8947,-156.47,80.62,71,40,17.27
30,Bluff,NZ,2021-06-07 04:21:29,-46.6,168.3333,49.8,73,7,7.23
31,Mataura,NZ,2021-06-07 04:25:03,-46.1927,168.8643,49.48,76,0,2.82
32,Jamestown,US,2021-06-07 04:20:37,42.097,-79.2353,70.34,79,1,9.22
33,Hithadhoo,MV,2021-06-07 04:25:04,-0.6,73.0833,83.34,72,24,12.24
34,Baghdad,IQ,2021-06-07 04:24:25,33.3406,44.4009,88.29,14,0,13.31
35,Mikhaylovskoye,RU,2021-06-07 04:25:04,51.8239,79.7172,74.77,32,0,8.59
36,Tuktoyaktuk,CA,2021-06-07 04:20:40,69.4541,-133.0374,35.6,80,40,12.66
37,Castro-Urdiales,ES,2021-06-07 04:25:05,43.3829,-3.2204,57.34,86,28,3.83
38,Puerto Ayora,EC,2021-06-07 04:22:21,-0.7393,-90.3518,72.55,98,24,9.19
39,Cape Town,ZA,2021-06-07 04:21:40,-33.9258,18.4232,66.61,37,0,10.0
40,Haines Junction,CA,2021-06-07 04:25:05,60.7522,-137.5108,48.15,93,100,1.14
41,Busselton,AU,2021-06-07 04:24:44,-33.65,115.3333,61.05,59,51,9.46
42,Krasnaya Gorbatka,RU,2021-06-07 04:25:06,55.8703,41.7641,60.26,85,82,3.56
43,Cayenne,GF,2021-06-07 04:25:06,4.9333,-52.3333,79.09,87,90,1.01
44,Yellowknife,CA,2021-06-07 04:23:02,62.456,-114.3525,46.92,71,75,4.0
45,Mezhdurechensk,RU,2021-06-07 04:25:06,53.6942,88.0603,69.06,55,16,2.08
46,Sorland,NO,2021-06-07 04:23:43,67.667,12.6934,51.87,97,100,4.74
47,Lingyuan,CN,2021-06-07 04:25:07,41.24,119.4011,64.04,69,100,4.05
48,Aitape,PG,2021-06-07 04:25:07,-3.1374,142.3475,81.66,78,100,3.11
49,Fomboni,KM,2021-06-07 04:25:07,-12.28,43.7425,79.25,69,93,18.14
50,Ponta Do Sol,PT,2021-06-07 04:25:06,32.6667,-17.1,66.83,78,12,5.39
