City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Awjilah,LY,2021-06-06 23:10:50,29.1081,21.2869,74.57,34,0,8.57
1,Bluff,NZ,2021-06-06 23:10:51,-46.6,168.3333,49.8,80,61,8.32
2,East London,ZA,2021-06-06 23:10:51,-33.0153,27.9116,62.28,39,0,9.24
3,Fukue,JP,2021-06-06 23:10:51,32.6881,128.8419,70.12,77,100,6.31
4,Dudinka,RU,2021-06-06 23:10:51,69.4058,86.1778,31.59,95,100,6.22
5,Batemans Bay,AU,2021-06-06 23:10:52,-35.7167,150.1833,55.9,69,100,4.18
6,Punta Arenas,CL,2021-06-06 23:10:52,-53.15,-70.9167,41.11,81,0,11.81
7,Laguna,US,2021-06-06 23:10:52,38.421,-121.4238,96.46,28,1,5.99
8,New Norfolk,AU,2021-06-06 23:10:53,-42.7826,147.0587,57.92,78,100,1.99
9,Cidreira,BR,2021-06-06 23:10:53,-30.1811,-50.2056,63.05,76,100,11.05
10,Rikitea,PF,2021-06-06 23:10:53,-23.1203,-134.9692,76.77,83,98,15.23
11,Longyearbyen,SJ,2021-06-06 23:10:53,78.2186,15.6401,35.44,75,0,8.05
12,Hay River,CA,2021-06-06 23:10:54,60.8156,-115.7999,49.64,52,52,7.76
13,Vaini,TO,2021-06-06 23:10:54,-21.2,-175.2,78.96,78,75,13.8
14,Ust-Koksa,RU,2021-06-06 23:10:54,50.2696,85.6108,42.15,80,0,1.7
15,Lompoc,US,2021-06-06 23:10:55,34.6391,-120.4579,76.78,72,90,8.99
16,Kununurra,AU,2021-06-06 23:10:55,-15.7667,128.7333,64.38,63,21,1.14
17,Mataura,NZ,2021-06-06 23:10:55,-46.1927,168.8643,49.48,77,59,3.38
18,Tahta,EG,2021-06-06 23:10:56,26.7693,31.5021,77.81,29,5,14.79
19,Nelson Bay,AU,2021-06-06 23:10:56,-32.7167,152.15,55.11,78,28,5.73
20,Kodiak,US,2021-06-06 23:10:56,57.79,-152.4072,55.89,52,12,6.13
21,Carutapera,BR,2021-06-06 23:10:57,-1.195,-46.02,74.8,94,16,5.39
22,Korla,CN,2021-06-06 23:10:57,41.7597,86.1469,70.47,39,39,9.51
23,Srednekolymsk,RU,2021-06-06 23:10:57,67.45,153.6833,44.58,71,100,15.57
24,Kanashevo,RU,2021-06-06 23:10:58,55.2169,62.0634,54.16,66,30,5.93
25,San Cristobal,VE,2021-06-06 23:10:58,7.7669,-72.225,67.24,98,100,2.59
26,Ostrovnoy,RU,2021-06-06 23:10:58,68.0531,39.5131,37.96,93,7,6.53
27,Arlit,NE,2021-06-06 23:10:59,18.7369,7.3853,92.86,13,54,10.47
28,Amapa,BR,2021-06-06 23:10:59,1.0,-52.0,72.54,97,93,2.19
29,Talnakh,RU,2021-06-06 23:07:11,69.4865,88.3972,31.59,97,100,5.21
30,Uaua,BR,2021-06-06 23:10:59,-9.8414,-39.4817,72.77,66,70,10.56
31,Mabaruma,GY,2021-06-06 23:11:00,8.2,-59.7833,74.7,95,72,5.14
32,Cape Town,ZA,2021-06-06 23:06:59,-33.9258,18.4232,71.35,22,12,13.22
33,Atuona,PF,2021-06-06 23:11:00,-9.8,-139.0333,80.19,62,61,6.73
34,Kysyl-Syr,RU,2021-06-06 23:11:00,63.8986,122.7617,48.94,87,100,8.61
35,Pevek,RU,2021-06-06 23:11:01,69.7008,170.3133,48.31,66,29,13.11
36,Saint-Philippe,RE,2021-06-06 23:11:01,-21.3585,55.7679,72.99,86,77,13.82
37,Fort Smith,US,2021-06-06 23:10:00,35.3859,-94.3986,80.38,81,20,3.0
38,Nouadhibou,MR,2021-06-06 23:11:02,20.931,-17.0347,66.63,82,94,23.09
39,Haines Junction,CA,2021-06-06 23:11:02,60.7522,-137.5108,55.65,55,100,4.83
40,Hilo,US,2021-06-06 23:09:29,19.7297,-155.09,84.27,72,40,11.5
41,Luxor,EG,2021-06-06 23:11:02,25.6989,32.6421,79.99,19,0,8.1
42,Carnarvon,AU,2021-06-06 23:11:03,-24.8667,113.6333,60.87,72,75,9.22
43,Barrow,US,2021-06-06 23:11:03,71.2906,-156.7887,32.02,86,90,13.8
44,Ushuaia,AR,2021-06-06 23:11:03,-54.8,-68.3,44.26,61,40,10.36
45,Port Lincoln,AU,2021-06-06 23:07:43,-34.7333,135.8667,60.82,52,94,23.8
46,Rani,IN,2021-06-06 23:11:03,25.3503,73.3089,85.14,49,10,7.96
47,Jamestown,US,2021-06-06 23:11:04,42.097,-79.2353,83.52,47,1,6.91
48,Meulaboh,ID,2021-06-06 23:06:49,4.1363,96.1285,74.19,88,100,5.39
49,Khatanga,RU,2021-06-06 23:11:04,71.9667,102.5,34.41,89,97,6.98
50,Norman Wells,CA,2021-06-06 23:07:10,65.282,-126.8329,51.84,71,75,5.75
51,Albany,US,2021-06-06 23:06:21,42.6001,-73.9662,85.95,57,46,5.03
52,Hambantota,LK,2021-06-06 23:11:05,6.1241,81.1185,79.45,85,100,13.85
53,Victoria,HK,2021-06-06 23:09:47,22.2855,114.1577,82.38,83,47,1.99
54,Kyren,RU,2021-06-06 23:11:05,51.6828,102.1408,44.29,82,71,1.25
55,Purpe,RU,2021-06-06 23:11:05,64.4803,76.6897,41.74,65,11,10.47
56,Celestun,MX,2021-06-06 23:11:06,20.8667,-90.4,84.11,77,96,16.11
57,Isangel,VU,2021-06-06 23:11:06,-19.55,169.2667,77.11,69,75,10.76
58,Kachug,RU,2021-06-06 23:11:06,53.9606,105.8817,48.43,79,100,5.39
59,Cusset,FR,2021-06-06 23:11:07,46.13,3.4596,59.34,96,78,2.01
60,Palmer,US,2021-06-06 23:11:07,42.1584,-72.3287,87.35,49,52,4.09
61,Bredasdorp,ZA,2021-06-06 23:11:07,-34.5322,20.0403,57.27,34,4,6.62
62,Port Alfred,ZA,2021-06-06 23:11:08,-33.5906,26.891,64.06,35,0,8.34
63,Nikolskoye,RU,2021-06-06 23:11:08,59.7035,30.7861,58.89,83,70,3.65
64,Chantilly,US,2021-06-06 23:11:08,38.8943,-77.4311,91.26,54,40,11.5
65,Marzuq,YE,2021-06-06 23:11:09,14.4,46.4667,81.57,34,42,5.39
66,Ilulissat,GL,2021-06-06 23:11:09,69.2167,-51.1,37.42,93,20,4.61
67,Kabinda,CD,2021-06-06 23:11:09,-6.1333,24.4833,70.88,59,29,5.37
68,Sharhorod,UA,2021-06-06 23:11:10,48.7383,28.085,53.69,91,57,7.11
69,Vestmannaeyjar,IS,2021-06-06 23:11:10,63.4427,-20.2734,47.98,88,100,16.33
70,Port Keats,AU,2021-06-06 23:11:07,-14.25,129.55,69.48,38,25,7.34
71,Palmerston,AU,2021-06-06 23:11:10,-12.486,130.9833,73.92,62,0,7.67
72,Sangar,RU,2021-06-06 23:11:11,63.9242,127.4739,44.26,94,100,3.2
73,Busselton,AU,2021-06-06 23:11:11,-33.65,115.3333,46.09,78,0,7.83
74,Praia Da Vitoria,PT,2021-06-06 23:11:11,38.7333,-27.0667,65.75,93,99,4.23
75,Mahebourg,MU,2021-06-06 23:11:12,-20.4081,57.7,71.26,83,38,14.18
76,Butaritari,KI,2021-06-06 23:06:53,3.0707,172.7902,82.58,72,12,8.48
77,Hermanus,ZA,2021-06-06 23:11:12,-34.4187,19.2345,66.9,44,1,11.43
78,Aloleng,PH,2021-06-06 23:11:12,16.1307,119.7824,82.44,79,98,9.26
79,Rio Gallegos,AR,2021-06-06 23:11:13,-51.6226,-69.2181,39.25,81,40,6.91
80,Arraial Do Cabo,BR,2021-06-06 23:11:13,-22.9661,-42.0278,74.01,86,100,20.47
81,Havoysund,NO,2021-06-06 23:11:13,70.9963,24.6622,40.08,67,2,8.93
82,Lyuban,BY,2021-06-06 23:11:14,52.7985,28.0048,54.34,92,10,7.67
83,Jerome,US,2021-06-06 23:11:14,42.7241,-114.5186,80.15,19,1,3.44
84,Puerto Escondido,MX,2021-06-06 23:11:14,15.85,-97.0667,88.63,66,75,9.22
85,Sinop,TR,2021-06-06 23:11:15,41.7711,34.8709,51.15,68,6,7.92
86,Uyemskiy,RU,2021-06-06 23:11:15,64.4743,40.8524,35.65,80,20,6.58
87,Kiunga,PG,2021-06-06 23:11:15,-6.1219,141.2906,75.2,98,99,2.24
88,Saldanha,ZA,2021-06-06 23:08:02,-33.0117,17.9442,68.67,36,2,26.78
89,Katsuura,JP,2021-06-06 23:11:16,35.1333,140.3,73.18,90,97,1.14
90,Yerbogachen,RU,2021-06-06 23:11:16,61.2767,108.0108,42.98,48,2,12.24
